Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
490,AL,AK,OOK,Wade Hampton (Census Area),Toksook Bay,CS,None,4294.00,4777.00,-10.11%
491,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,4273.00,3049.00,40.14%
493,NM,MT,GGW,Glasgow,Wokal Field/Glasgow-Valley County,CS,None,4201.00,3517.00,19.45%
494,EA,PA,BFD,Bradford,Bradford Regional,CS,None,4191.00,3897.00,7.54%
495,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,4103.00,3806.00,7.80%
496,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,4068.00,4407.00,-7.69%
497,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,4042.00,4917.00,-17.80%
498,AL,AK,CFK,Chefornak,Chefornak,CS,None,4002.00,4027.00,-0.62%
499,GL,MI,YIP,Detroit,Willow Run,CS,None,3987.00,2938.00,35.70%
501,AL,AK,SVA,Savoonga,Savoonga,CS,None,3926.00,4188.00,-6.26%
503,NM,MT,OLF,Wolf Point,L M Clayton,CS,None,3851.00,3804.00,1.24%
504,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,3831.00,1003.00,281.95%
505,AL,AK,WBB,Stebbins,Stebbins,CS,None,3798.00,2687.00,41.35%
506,AL,AK,AWI,Barrow (County),Wainwright,CS,None,3761.00,3756.00,0.13%
507,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3718.00,3485.00,6.69%
508,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3712.00,3589.00,3.43%
509,AL,AK,2A9,Kotlik,Kotlik,CS,None,3709.00,3612.00,2.69%
510,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,3685.00,2948.00,25.00%
511,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,3655.00,1475.00,147.80%
512,AL,AK,SDP,Sand Point,Sand Point,CS,None,3636.00,3998.00,-9.05%
514,AL,AK,GAM,Gambell,Gambell,CS,None,3610.00,3493.00,3.35%
515,AL,AK,KVL,Kivalina,Kivalina,CS,None,3580.00,3454.00,3.65%
516,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,3443.00,3096.00,11.21%
517,AL,AK,KLG,Kalskag,Kalskag,CS,None,3425.00,2915.00,17.50%
518,AL,AK,EEK,Eek,Eek,CS,None,3382.00,2839.00,19.13%
519,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3369.00,3856.00,-12.63%
520,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,3350.00,3360.00,-0.30%
522,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3320.00,3341.00,-0.63%
523,AL,AK,KAE,Kake,Kake,CS,None,3309.00,3087.00,7.19%
524,AL,AK,Z13,Akiachak,Akiachak,CS,None,3308.00,2556.00,29.42%
525,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,3256.00,5598.00,-41.84%
528,NM,MT,HVR,Havre,Havre City-County,CS,None,3237.00,2716.00,19.18%
529,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,CS,None,3234.00,1894.00,70.75%
530,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,3222.00,3263.00,-1.26%
531,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,3182.00,4155.00,-23.42%
532,AL,AK,BTI,Kaktovik,Barter Island,CS,None,3135.00,3212.00,-2.40%
533,AL,AK,HLA,Huslia,Huslia,CS,None,3128.00,2897.00,7.97%
534,SO,AL,TCL,Tuscaloosa,Tuscaloosa Regional,CS,None,3058.00,2388.00,28.06%
535,NM,WA,PAE,Everett,Snohomish County (Paine Field),CS,None,3037.00,623.00,387.48%
536,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3016.00,3353.00,-10.05%
